
SET LINE 55
SET PAGES 30000
COLUMN RTN_NET FORMAT 99,99,999.99

COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE SUM OF RTN_NET ON REPORT
COMPUTE MAX OF RTN_NET ON FL_MVH
COMPUTE COUNT OF RTN_NO ON FL_MVH
BREAK ON REPORT ON FL_MVH


TTITLE center 'Depot:'&&SC_CD', Return Bill' SKIP2

SPOOL ON

SELECT SC_CD, FL_MVH, FP_ID, BILL_NO, RTN_NO, RTN_DT,RSN_NO, SALE_CD, RTN_NET 
	FROM SCENT.RTN_MAS 
	WHERE SC_CD='&&SC_CD' 
	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
	AND CANCL IS NULL 
	ORDER BY FL_MVH, RTN_NO
/

 
SPOOL OFF

ED ON.LST

===============================


old   3: 	WHERE SC_CD='&&SC_CD'
new   3: 	WHERE SC_CD='11'
Enter value for date1: 01JAN25
Enter value for date2: 31JAN25
old   4: 	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
new   4: 	AND RTN_DT BETWEEN '01JAN25' AND '31JAN25'

                 Depot:11, Return Bill                 
                                                       
SC F FP_ID BILL_NO RTN_NO RTN_DT    R SA       RTN_NET 
-- - ----- ------- ------ --------- - -- ------------- 
11 1 26879 1520193 278047 03-JAN-25 4 WM      7,960.22 
11   26687 1521973 278142 08-JAN-25 4 WM     11,655.06 
11   05S49 1521809 278143 08-JAN-25 $ WM      4,055.12 
11   05S49 1521920 278144 08-JAN-25 $ WM      5,180.12 
11   05X32 1521758 278145 08-JAN-25 4 WM        828.84 
11   05X38 1521758 278146 08-JAN-25 4 WM      2,371.84 
11   05X38 1521828 278147 08-JAN-25 4 WM        754.69 
11   07F18 1521632 278148 08-JAN-25 4 WS        531.07 
11   05X32 1520620 278150 08-JAN-25 7 WO        337.13 
11   05X38 1520620 278151 08-JAN-25 7 WO      2,645.46 
11   05X32 1521756 278152 08-JAN-25 $ WM        653.82 
11   05X38 1521756 278153 08-JAN-25 $ WM      2,423.01 
11   05X38 1521825 278154 08-JAN-25 4 WO        415.20 
11   05S49 1521919 278155 08-JAN-25 $ WM      3,166.02 
11   20793 1521806 278156 08-JAN-25 $ WM        972.79 
11   21906 1521806 278157 08-JAN-25 $ WM      3,198.96 
11   05X32 1520616 278158 08-JAN-25 4 WO        139.60 
11   05X38 1520616 278159 08-JAN-25 4 WO      1,652.16 
11   05X32 1518448 278160 08-JAN-25 4 WM      1,113.72 
11   05X32 1520527 278161 08-JAN-25 7 WM      2,024.10 
11   05X38 1520527 278162 08-JAN-25 7 WM      1,093.32 
11   02455 1519895 278163 09-JAN-25 4 WM      6,282.36 
11   21678 1519895 278164 09-JAN-25 4 WM      9,685.70 
11   22027 1522360 278165 09-JAN-25 4 WO        418.35 
11   22295 1522093 278166 09-JAN-25 $ WM      4,050.00 
11   22648 1522093 278167 09-JAN-25 $ WM        578.82 
11   22295 1522198 278168 09-JAN-25 $ WM      5,549.75 
11   21678 1519593 278169 09-JAN-25 4 WM      3,423.44 
11   22295 1521116 278170 09-JAN-25 7 WM      1,312.31 
11   22648 1521116 278171 09-JAN-25 7 WM      4,028.51 
11   05207 1521227 278172 09-JAN-25 7 WM      2,521.05 
11   22970 1519710 278173 09-JAN-25 4 WM        514.56 
11   22648 1522234 278174 09-JAN-25 $ WO      1,492.14 
11   21015 1522014 278176 09-JAN-25 $ WO      1,273.50 
11   21799 1522014 278177 09-JAN-25 $ WO        154.20 
11   21015 1521686 278178 09-JAN-25 4 IC      7,800.00 
