

SET LINE 100
SET PAGES 20000
COLUMN VALUE FORMAT 99,99,999.99


COMPUTE SUM OF VALUE ON DIV_CD
COMPUTE SUM OF VALUE ON REPORT
BREAK ON REPORT ON DIV_CD

---COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE COUNT OF RTN_NO ON FL_MVH



TTITLE center 'Depot:'&&SC_CD', RECV_SUB Voucher of Date Expired Medicine' SKIP2



SPOOL ON

SELECT DISTINCT LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY,SUM(T_VAT*RV_QTY) VALUE
	FROM INV.RECV_SUB WHERE RV_DT BETWEEN '&DATE1' AND '&DATE2' 
	AND LOC_CD='&&SC_CD' 
	AND DIV_CD IN('1','2')
	AND RV_TYP='47' 
	---AND EXP_DT<='01AUG2022'
	GROUP BY LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY
	ORDER BY DIV_CD,EXP_DT,CAT_CD||PRD_CD

/

 
SPOOL OFF

ED ON.LST


==============================================================================


Date: 01-31 Dec'24

                         Depot:15, Receive Voucher of Date Expired Medicine                         
                                                                                                    
LO D FP_ID RV_NO   SUB_NO RV_DT     RV CAT_CD MFG_DT    EXP_DT    B_NO         RV_QTY         VALUE 
-- - ----- ------- ------ --------- -- ------ --------- --------- -------- ---------- ------------- 
15 1 27309 0005208 003920 15-DEC-24 47 051021 01-SEP-16 30-AUG-18 A0216003         .5         86.40 
15   22331 0005208 003793 15-DEC-24 47 081365 01-APR-19 30-MAR-21 T3659007         .3        184.80 
15   21674 0005208 003784 15-DEC-24 47 081212 01-MAR-19 31-MAR-21 T2129002          1        248.00 
15   22558 0005208 003752 15-DEC-24 47 041001 01-MAY-19 30-APR-21 D0018070          8        126.72 
15   28292 0005208 003866 15-DEC-24 47 051020 01-MAY-19 30-APR-21 V0209008         12      2,012.64 
15   05J77 0005208 003765 15-DEC-24 47 081282 01-AUG-19 30-APR-21 T2829001        1.8        396.90 
15   05J77 0005208 003765 15-DEC-24 47 081322 01-MAY-19 30-APR-21 T3229006         .2         88.10 
15   28292 0005208 003915 15-DEC-24 47 061006 01-MAY-19 30-MAY-21 L0069002          1         37.96 
15   22592 0005208 003899 15-DEC-24 47 061014 01-MAY-19 30-MAY-21 L0149014          2         79.20 
15   05J77 0005208 003922 15-DEC-24 47 061014 01-MAY-19 30-MAY-21 L0149008          1         39.60 
15   22976 0005208 003815 15-DEC-24 47 081003 01-JUN-19 30-MAY-21 T0039005         .9        158.40 
15   05500 0005208 003952 15-DEC-24 47 081019 01-MAY-19 30-MAY-21 T0199900         .2          5.20 
15   27309 0005208 003920 15-DEC-24 47 081234 01-MAY-19 30-MAY-21 T2348005          1        198.60 
15   21513 0005208 003857 15-DEC-24 47 081274 01-MAY-19 30-MAY-21 T2741003          1        264.60 
15   20477 0005208 003916 15-DEC-24 47 081323 01-MAY-19 30-MAY-21 T3239014          1        352.00 
15   22331 0005208 003793 15-DEC-24 47 031027 01-JUL-19 30-JUN-21 P0279013          1         53.16 
15   22331 0005208 003780 15-DEC-24 47 051018 01-JUL-19 30-JUN-21 V0188004          1         88.27 
15   22331 0005208 003793 15-DEC-24 47 051066 01-JUL-19 30-JUN-21 A0662004          1        105.61 
15   05J77 0005208 003739 15-DEC-24 47 061061 01-JUL-19 30-JUN-21 L0619004          3         52.80 
15   21674 0005208 003784 15-DEC-24 47 061079 01-JUN-19 30-JUN-21 L0793001          1         74.81 
15   21674 0005208 003784 15-DEC-24 47 141009 01-JUN-19 30-JUN-21 S0099002         .5         35.50 
15   22331 0005208 003793 15-DEC-24 47 081339 01-JUL-19 30-JUL-21 T3399008         .5        193.60 
15   21674 0005208 003784 15-DEC-24 47 141002 01-JUL-19 31-JUL-21 S0029098          1         44.30 
15   05500 0005208 003952 15-DEC-24 47 011015 01-APR-19 30-AUG-21 C0159003         .4         42.20 
15   20477 0005208 003916 15-DEC-24 47 011017 01-AUG-19 30-AUG-21 C0179010        .16         54.07 
15   27954 0005208 003901 15-DEC-24 47 011072 01-OCT-19 30-AUG-21 C0729004          1        281.60 
15   22331 0005208 003780 15-DEC-24 47 031035 01-SEP-19 30-AUG-21 P0359030          1        281.62 
15   27932 0005208 003735 15-DEC-24 47 061006 01-SEP-19 30-AUG-21 L0069003          1         37.96 
15   21513 0005208 003857 15-DEC-24 47 061018 01-OCT-19 30-AUG-21 L0189021          3         38.31 
15   02BX6 0005208 003865 15-DEC-24 47 061018 01-JUL-19 30-AUG-21 L0189012          3         38.31 
15   27309 0005208 003920 15-DEC-24 47 061024 01-JAN-19 30-AUG-21 L027002           2        132.40 
15   28292 0005208 003915 15-DEC-24 47 061031 01-AUG-19 30-AUG-21 L0319009          1         33.54 
15   05J77 0005208 003739 15-DEC-24 47 061067 01-AUG-19 30-AUG-21 L0679011          2         61.62 
15   28292 0005208 003867 15-DEC-24 47 061075 01-OCT-19 30-AUG-21 L0752005          5        352.05 
15   27309 0005208 003920 15-DEC-24 47 081016 01-JAN-19 30-AUG-21 T0167800         .3         52.80 
15   22128 0005208 003861 15-DEC-24 47 081032 01-AUG-19 30-AUG-21 T0329088        1.2         81.60 
15   28292 0005208 003740 15-DEC-24 47 081033 01-SEP-19 30-AUG-21 T0339007         .9        108.90 
15   20477 0005208 003916 15-DEC-24 47 081034 01-JUL-19 30-AUG-21 T0349100         .7         37.10 
15   02BX6 0005208 003802 15-DEC-24 47 081044 01-OCT-18 30-AUG-21 T0448016          1        276.00 
15   22128 0005208 003861 15-DEC-24 47 081089 01-OCT-19 30-AUG-21 T0891025          1        265.00 
15   22558 0005208 003752 15-DEC-24 47 081109 01-SEP-19 30-AUG-21 T1099015         .5         46.50 
15   05J77 0005208 003739 15-DEC-24 47 081185 01-OCT-19 30-AUG-21 T1859035          1        123.00 
15   27954 0005208 003901 15-DEC-24 47 081261 01-OCT-19 30-AUG-21 T2619006          1        318.80 
15   05J77 0005208 003739 15-DEC-24 47 081291 01-OCT-19 30-AUG-21 T2910001         .6        213.00 
15   22128 0005208 003779 15-DEC-24 47 081307 01-OCT-19 30-AUG-21 T3079009        .33        104.64 
15   27309 0005208 003920 15-DEC-24 47 131019 01-APR-19 30-AUG-21 H0197022        .67         44.42 
15   02P65 0005208 003758 15-DEC-24 47 261059 01-SEP-19 30-AUG-21 T0109007        .66        136.62 
15   21674 0005208 003784 15-DEC-24 47 141002 01-AUG-19 31-AUG-21 S0029061        3.5        155.05 
15   28292 0005208 003866 15-DEC-24 47 051019 01-OCT-19 30-SEP-21 V0199022          3        344.25 
15   28292 0005208 003891 15-DEC-24 47 061048 01-OCT-19 30-SEP-21 L0482002          1         42.24 
15   05J77 0005208 003739 15-DEC-24 47 061064 01-OCT-19 30-SEP-21 L0649008          1         42.37 
15   21513 0005208 003799 15-DEC-24 47 081019 01-OCT-20 30-SEP-21 T0190028         .1          2.60 
15   22331 0005208 003793 15-DEC-24 47 081337 01-OCT-19 30-SEP-21 T3379071        .67        318.38 
15   21674 0005208 003784 15-DEC-24 47 141002 01-SEP-19 30-SEP-21 S0029064          1         44.30 
